Designator,Qty,Category,Exact MPN / Orderable Part,Manufacturer,Package / Footprint,Primary EU-capable supplier,Search / Supplier note,Substitution constraints,Assembly note
U1,1,MCU module,DEV-16771 / Teensy 4.1,SparkFun / PJRC,Teensy 4.1 module,Digikey / Mouser / Pimoroni / PJRC,Search supplier for DEV-16771 or PJRC Teensy 4.1,Must be Teensy 4.1 not Teensy 4.0; socket recommended,Install after verifying 5V rail
U2 U3,2,CAN transceiver,MCP2562FD-E/SN,Microchip,SOIC-8 3.9x4.9mm P1.27,Mouser EU / DigiKey EU,Search exact MPN MCP2562FD-E/SN,Must have VIO pin on pin 5 for 3.3V Teensy I/O; do not substitute MCP2551/TJA1050,Tin SOIC pads lightly; observe pin 1
U4,1,LIN transceiver,TLIN1029DRQ1,Texas Instruments,SOIC-8 D package,Mouser EU / DigiKey EU / TI store,Search exact MPN TLIN1029DRQ1,Pinout must match TLIN1029 SOIC-8: RXD1 EN2 NC3 TXD4 GND5 LIN6 VSUP7 NC8; RXD is open-drain,Observe pin 1; R1 is required pull-up
U5,1,5V buck regulator,LM2596S-5.0/NOPB,Texas Instruments,TO-263-5 TabPin3,Mouser EU / DigiKey EU,Search exact MPN LM2596S-5.0/NOPB,Fixed 5V TO-263/D2PAK version; do not use adjustable LM2596 without redesign,Large tab needs heat/ground copper; inspect solder joints
L1,1,Buck inductor,RLB0914-330KL,Bourns,Radial inductor approx 33uH 5mm pitch,Mouser EU / DigiKey EU,Search exact MPN RLB0914-330KL,33uH radial inductor; choose equal/higher current rating and compatible lead pitch if substituting,Keep upright and mechanically stable
D1,1,Automotive input TVS,SMBJ24CA,Littelfuse / Bourns / Vishay,SMA / DO-214AA,Mouser EU / DigiKey EU / Farnell,Search exact MPN SMBJ24CA,Use bidirectional 24V standoff automotive/SMBJ-class TVS or equivalent SMA footprint,Polarity not critical if CA bidirectional
D2,1,Buck Schottky diode,B340A-13-F,Diodes Inc,SMA / DO-214AC,Mouser EU / DigiKey EU / Farnell,Search exact MPN B340A-13-F,Use 3A or higher Schottky in SMA footprint; voltage rating >=40V,Observe polarity
F1,1,Resettable fuse,MF-NSMF050-2,Bourns,1206 resettable PTC,Mouser EU / DigiKey EU / Farnell,Search exact MPN MF-NSMF050-2,Hold current around 500mA; 1206 footprint,Solder before power tests
C1,1,Input electrolytic capacitor,EEU-FR1H101,Panasonic,Radial electrolytic 100uF 50V D8 P3.5,Mouser EU / DigiKey EU / Farnell,Search exact MPN EEU-FR1H101,100uF 50V low-ESR radial; diameter <=8mm; lead pitch 3.5mm preferred,Observe polarity
C3,1,Output electrolytic capacitor,EEU-FR1C331,Panasonic,Radial electrolytic 330uF 16V D8 P3.5,Mouser EU / DigiKey EU / Farnell,Search exact MPN EEU-FR1C331,330uF 16V or higher low-ESR radial; diameter <=8mm; lead pitch 3.5mm preferred,Observe polarity
C2 C4 C5 C6 C7,5,Ceramic decoupling capacitor,C0805C104K5RACTU,KEMET,0805 X7R 100nF 50V,Mouser EU / DigiKey EU / Farnell,Search exact MPN C0805C104K5RACTU,100nF 50V X7R 0805; any reputable equivalent OK,Small SMD; use flux
R1,1,LIN RX pull-up resistor,RC0805FR-0710KL,Yageo,0805 resistor 10k 1%,Mouser EU / DigiKey EU / Farnell,Search exact MPN RC0805FR-0710KL,10k 0805 1% or 5% OK,Required for TLIN1029 open-drain RXD
SW1 SW2,2,8-position DIP switch,219-8MST,CTS Electrocomponents,8-position SPST DIP through-hole 2.54mm pitch 7.62mm row,Mouser EU / DigiKey EU / Farnell,Search exact MPN 219-8MST,Must be 8-position SPST through-hole DIP matching KiCad SW_DIP_SPSTx08 W7.62 P2.54,Install readable ON orientation
J2,1,Aux header,TSW-108-07-G-S,Samtec,1x8 2.54mm vertical header,Mouser EU / DigiKey EU / Farnell,Search exact MPN TSW-108-07-G-S,Any 1x8 2.54mm vertical male header acceptable,Optional if aux access needed
J1 off-board,1,OBD2 male pigtail / connector,RS 179-7873 or equivalent,RS PRO / equivalent,Off-board OBD2/J1962 male with wires,RS Components Europe,Use RS stock number 1797873 if it matches desired OBD2 connector/cable,Must verify actual pin numbering and wire colors with multimeter before vehicle use,Solder wires to J1 pads; use strain relief holes
U1 headers,1 set,Teensy 4.1 socket/header strips,Generic 2.54mm female headers,Various,2.54mm headers,Mouser / DigiKey / Pimoroni / local EU electronics shop,Use quality breakaway female socket strips,Use sockets if you want removable Teensy,Cut to fit Teensy side rows
MH1-MH4,4,Mounting hardware,M3 screw/standoff kit,Generic,M3 hardware,Local EU hardware / Amazon EU / RS,Not soldered,Non-conductive standoffs preferred,Optional
SR1-SR2,2,Cable strain relief,Small zip ties,Generic,Through board strain relief holes,Local EU hardware / Amazon EU / RS,Not soldered,Use around OBD cable jacket,Required for pigtail durability
